EvID,PaperID,Vote,v_5,v_6,v_6_coded,v_5_6_merged,v_11,v_11_coded,v_12,v_14,v_15,v_16,v_16_coded,v_15_16_merged,v_19,v_19_coded,v_124,v_118,v_119,v_120,v_121
7,31,Unwise,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,65,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,104,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,135,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,211,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,236,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,256,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,275,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,358,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,392,Unimportant,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
7,407,Worthwhile,Requirements Engineer,NotAnswered,NotAnswered,Requirements Engineer,50,50.0,Yes,Medium (5-10),(Business) information systems,NotAnswered,NotAnswered,(Business) information systems,"administration, pharmaceutical, goverment",Multiple Sectors,Denmark,quoted,not quoted,quoted,not quoted
