EvID,PaperID,Vote
33,224,Essential
33,240,Worthwhile
33,255,Worthwhile
33,329,Worthwhile
33,330,Worthwhile
33,333,Worthwhile
33,364,Worthwhile
33,375,Worthwhile
33,431,Worthwhile
34,51,Worthwhile
34,77,Worthwhile
34,142,Essential
34,144,Unimportant
34,161,Essential
34,164,Unimportant
34,261,Worthwhile
34,273,Unimportant
34,275,Worthwhile
34,280,Worthwhile
34,284,Worthwhile
34,334,Unimportant
34,346,Unimportant
34,372,Worthwhile
34,405,Worthwhile
35,5,Unimportant
35,43,Unimportant
35,80,Worthwhile
35,151,Worthwhile
35,163,Worthwhile
35,172,Unimportant
35,215,Essential
35,217,Essential
35,251,Worthwhile
35,264,Worthwhile
35,265,Worthwhile
35,270,Unimportant
35,334,Unimportant
35,358,Worthwhile
35,378,Unimportant
36,13,Worthwhile
36,89,Essential
36,117,Worthwhile
36,145,Essential
36,147,Essential
36,165,Worthwhile
36,171,Worthwhile
36,258,Unimportant
36,265,Worthwhile
36,316,Unimportant
36,347,Unimportant
36,361,Worthwhile
36,383,Essential
36,402,Worthwhile
37,21,Unimportant
37,24,Unimportant
37,45,Worthwhile
37,275,Worthwhile
37,297,Essential
37,330,Essential
37,375,Unimportant
37,413,Unimportant
38,73,Worthwhile
38,81,Worthwhile
38,95,Essential
38,102,Unimportant
38,156,Worthwhile
38,221,Essential
38,255,Worthwhile
38,259,Essential
38,265,Worthwhile
38,278,Worthwhile
38,366,Essential
38,370,Worthwhile
38,406,Unimportant
38,409,Essential
38,411,Unimportant
39,24,Essential
39,30,Unimportant
39,49,Worthwhile
39,178,Unwise
39,182,Unimportant
39,195,Unwise
39,227,Worthwhile
39,290,Unimportant
39,319,Worthwhile
39,323,Essential
39,324,Unimportant
39,327,Worthwhile
39,339,Worthwhile
39,356,Unimportant
39,398,Worthwhile
40,15,Worthwhile
40,20,Essential
40,91,Unimportant
40,102,Worthwhile
40,104,Unimportant
40,187,Worthwhile
40,213,Unimportant
40,248,Worthwhile
40,258,Essential
40,322,Unimportant
40,327,Unimportant
40,340,Unimportant
40,357,Worthwhile
40,389,Worthwhile
40,401,Unimportant
41,48,Worthwhile
41,52,Unimportant
41,59,Unimportant
41,82,Worthwhile
41,140,Essential
41,155,Worthwhile
41,171,Unimportant
41,203,Essential
41,247,Worthwhile
41,248,Unimportant
41,304,Unimportant
41,315,Essential
41,371,Unimportant
41,405,Worthwhile
41,411,Worthwhile
42,14,Worthwhile
42,44,Worthwhile
42,50,Unimportant
42,135,Worthwhile
42,151,Worthwhile
42,183,Essential
42,194,Worthwhile
42,209,Unimportant
42,269,Unimportant
42,344,Unimportant
42,358,Unimportant
42,382,Unimportant
42,413,Unimportant
42,422,Unimportant
42,424,Worthwhile
43,32,Worthwhile
43,89,Essential
43,122,Essential
43,131,Worthwhile
43,162,Worthwhile
43,191,Essential
43,197,Unimportant
43,215,Essential
43,221,Essential
43,259,Worthwhile
43,320,Worthwhile
43,321,Worthwhile
43,347,Worthwhile
43,416,Worthwhile
43,427,Worthwhile
44,56,Worthwhile
44,104,Essential
44,110,Essential
44,113,Worthwhile
44,138,Worthwhile
44,164,Worthwhile
44,204,Worthwhile
44,235,Unimportant
44,254,Unimportant
44,285,Worthwhile
44,334,Unimportant
44,348,Unimportant
44,350,Unimportant
44,408,Unimportant
44,433,Worthwhile
45,13,Worthwhile
45,66,Worthwhile
45,95,Unimportant
45,146,Worthwhile
45,147,Essential
45,157,Essential
45,189,Worthwhile
45,215,Worthwhile
45,277,Unimportant
45,344,Essential
45,392,Worthwhile
45,424,Unimportant
46,38,Worthwhile
46,39,Essential
46,43,Worthwhile
46,57,Essential
46,60,Essential
46,89,Essential
46,91,Worthwhile
46,100,Worthwhile
46,177,Worthwhile
46,209,Unimportant
46,248,Worthwhile
46,256,Essential
46,335,Worthwhile
46,403,Essential
46,433,Unimportant
47,45,Worthwhile
47,60,Worthwhile
47,95,Unimportant
47,153,Worthwhile
47,217,Worthwhile
47,274,Worthwhile
47,347,Worthwhile
